"X","name","mzmed","mzmin","mzmax","rtmed","rtmin","rtmax","npeaks","NEG","maxint","X200STD_amide23_24DDA100.700_neg01","X200STD_amide23_24DDA100.700_neg02","X200STD_amide23_24DDA100.700_neg03","X200STD_amide23_24DDA100.700_neg04","num.ms1.spec","num.spec","isolation.warning","rt.extended","nhits.reverse_zhulib","hits.reverse_zhulib","nhits.forward_zhulib","hits.forward_zhulib"
1,"M100T691",100.011264951384,100.011098060414,100.011393251308,690.817,690.574,691.248,3,3,419,2801.4486,3492.36573913044,2903.67559999999,3039.53576470588,1,1,FALSE,FALSE,"0","","0",""
2,"M100T441",100.039809196259,100.03978027985,100.04004479709,441.195,440.782,442.003,4,4,785,9472.5891304348,11116.6472258064,12397.522,10072.5066666667,0,0,FALSE,FALSE,"0","","0",""
3,"M100T715",100.039528327863,100.038864508477,100.039649413492,715.456,715.177,716.016,3,3,323,649.095230769232,792.471416666665,978.466090909096,1050.55722222221,0,0,FALSE,FALSE,"0","","0",""
4,"M100T475",100.039792637194,100.039662568697,100.039922705692,475.2965,474.853,475.74,2,2,429,3643.94916666667,6412.05117142857,4775.54933333333,7140.21726315789,0,0,FALSE,FALSE,"0","","0",""
5,"M100T355",100.076450105761,100.075543122455,100.077574683327,355.493,352.192,355.737,4,4,362,1739.77128571428,853.300000000004,846.115000000003,1221.64933333334,0,0,FALSE,FALSE,"0","","0",""
6,"M100T696",100.076000343288,100.075330178067,100.076981943901,696.167,695.891,696.788,3,3,233,842.952000000006,789.943571428566,959.722352941179,776.194105263154,0,0,FALSE,FALSE,"0","","0",""
7,"M101T1229",100.924488057944,100.924466793933,100.924509321954,1228.535,1223.2,1233.87,2,2,982,614.812000000069,712.828571428587,882.991999999881,861.343999999884,0,0,FALSE,FALSE,"0","","0",""
8,"M101T1361",100.932862214373,100.932537125304,100.933086738947,1361.34,1340.28,1378.99,19,2,1607,842.613333333251,2005.87399999996,1937.50333333323,3581.17277777755,0,0,FALSE,FALSE,"0","","0",""
9,"M101T1319",100.932802532418,100.932517109123,100.933022357519,1318.87,1301.14,1336.13,16,2,1728,3605.26666666689,3880.58000000009,4119.0689473685,5241.81583333323,0,0,FALSE,FALSE,"0","","0",""
10,"M101T1293",100.932841793007,100.932355689606,100.932940195301,1292.9,1287.13,1299.66,7,2,1578,4108.25250000012,5576.86142857141,5826.35678571425,7862.50342105257,0,0,FALSE,FALSE,"0","","0",""
11,"M101T1269",100.932770805968,100.932619587873,100.933288899908,1268.8,1249.03,1281.25,12,2,1609,807.333333333582,2677.85999999991,2758.45000000012,5090.93999999993,0,0,FALSE,FALSE,"0","","0",""
12,"M101T1179",100.933106369625,100.924447200536,100.933222047516,1179.45,1177.93,1188.01,3,3,601,193.536000000034,288.959999999966,205.360000000019,211.679999999979,0,0,FALSE,FALSE,"0","","0",""
13,"M101T703",101.023985444649,101.023588357584,101.024304200442,703.274,703.147,703.666,4,4,1187,5876.58050000002,7093.05663999999,7469.27533333333,8134.84356666669,1,1,TRUE,FALSE,"0","","0",""
14,"M101T442",101.023813601426,101.023705034731,101.023978641765,441.964,440.933,442.463,4,4,1243,18114.252,13757.6990769231,21121.1819111111,17950.1574634146,0,0,FALSE,FALSE,"0","","0",""
15,"M101T162",101.039007570537,101.038977808572,101.039037332502,162.486,160.093,164.879,2,2,3722,25685.8968888889,73311.233375,57862.5258749999,35312.4794666667,2,14,TRUE,TRUE,"0","","0",""
