name,mz,rt,X200STD_amide23_24DDA100.700_neg01,X200STD_amide23_24DDA100.700_neg02,X200STD_amide23_24DDA100.700_neg03,X200STD_amide23_24DDA100.700_neg04
M100T691,100.011264951384,690.817,2801.4486,3492.36573913044,2903.67559999999,3039.53576470588
M100T441,100.039809196259,441.195,9472.5891304348,11116.6472258064,12397.522,10072.5066666667
M100T715,100.039528327863,715.456,649.095230769232,792.471416666665,978.466090909096,1050.55722222221
M100T475,100.039792637194,475.2965,3643.94916666667,6412.05117142857,4775.54933333333,7140.21726315789
M100T355,100.076450105761,355.493,1739.77128571428,853.300000000004,846.115000000003,1221.64933333334
M100T696,100.076000343288,696.167,842.952000000006,789.943571428566,959.722352941179,776.194105263154
M101T1229,100.924488057944,1228.535,614.812000000069,712.828571428587,882.991999999881,861.343999999884
M101T1361,100.932862214373,1361.34,842.613333333251,2005.87399999996,1937.50333333323,3581.17277777755
M101T1319,100.932802532418,1318.87,3605.26666666689,3880.58000000009,4119.0689473685,5241.81583333323
M101T1293,100.932841793007,1292.9,4108.25250000012,5576.86142857141,5826.35678571425,7862.50342105257
M101T1269,100.932770805968,1268.8,807.333333333582,2677.85999999991,2758.45000000012,5090.93999999993
M101T1179,100.933106369625,1179.45,193.536000000034,288.959999999966,205.360000000019,211.679999999979
M101T703,101.023985444649,703.274,5876.58050000002,7093.05663999999,7469.27533333333,8134.84356666669
M101T442,101.023813601426,441.964,18114.252,13757.6990769231,21121.1819111111,17950.1574634146
M101T162,101.039007570537,162.486,25685.8968888889,73311.233375,57862.5258749999,35312.4794666667
M101T131,101.038963732076,131.441,86523.03616,77974.9125957447,148527.56635,31345.0300952381
M101T155,101.059903946162,155.2645,187381.739842105,115208.187027027,127944.530181818,377453.113125
M101T101,101.060033147888,100.865,122689.288075,90965.6811428571,109116.388941176,110818.37975
M102T696,102.055101157446,695.9425,6917.54865116279,5366.5145625,6649.66010526314,8002.46883333333
M102T627,102.054934224792,627.263,4576.14442105264,5755.83099999999,5597.6892173913,6690.19399999997
M102T519,102.055257801903,519.4175,9103.84904347825,7706.21088059701,8537.78025,9717.5412857143
M102T712,102.055325878435,712.387,2727.06105263158,3234.53166666666,3301.58018750001,3007.95235714285
M102T659,102.055315768195,658.5235,3500.97973076922,3873.43875000001,4744.60237500003,3897.00238888887
M102T1320,102.063543146285,1319.73,1878.10750000005,1211.57999999998,2042.27999999995,3038.47724137932
M102T1354,102.063558396764,1354.49,149.529999999953,392.376666666703,956.880000000003,596.942222222262
