name,mz,rt,adduct,X200STD_amide23_24DDA100.700_neg01,X200STD_amide23_24DDA100.700_neg02,X200STD_amide23_24DDA100.700_neg03,X200STD_amide23_24DDA100.700_neg04
M104T677,104.034773102544,676.9885,[M-H]-,79064.4590243901,93736.7518139535,103526.434177778,116113.997045454
M109T67,109.029070789737,66.5245,[M-H]-,652861.4016,378095.06,388966.50055,368759.6088
M109T98,109.028730197386,98.258,[M-H]-,38910.8468571429,58928.5163571428,56852.7247241379,65673.0886451613
M110T321,110.036014233879,321.3265,[M-H]-,638412.846320001,283434.60425,285995.207333333,271874.89776
M110T172,110.035366099162,172.319,[M-H]-,252270.725,191407.31544,195971.41536,189746.055333333
M111T70,111.008174631378,69.8395,[M+Na-2H]-,42369.45,54489.1113157895,47412.8870769231,52902.1257142857
M111T390,111.019352776001,390.1505,[M-H]-,61500.5444166667,80232.6523750001,76396.3296666667,76595.25848
M111T262,111.019321715478,261.674,[M-H]-,57639.9703703704,36364.5991578947,32286.7481481481,22845.1995
M115T367,115.002963768727,366.5075,[M-H]-,8320.44013636363,8119.23885714286,7037.68835,7313.72100000001
M115T367,115.002963768727,366.5075,[M-H2O-H]-,8320.44013636363,8119.23885714286,7037.68835,7313.72100000001
M116T363,116.049932718012,363.297,[M-H]-,6785.70137500001,5111.37341176471,4832.275,4806.76386666666
M117T690,117.019155765468,690.3895,[M-H]-,739964.268444443,744325.202482761,740406.69624999794,814744.693777775
M119T187,119.036900212797,187.099,[M-H]-,1994926.63444828,1765407.79466667,1767125.63127273,1739664.7185
M121T161,121.028940450028,161.02,[M-H]-,425342.103703704,551385.129878049,545117.245368421,588065.856691358
M121T62,121.028739658997,61.7295,[M-H]-,85094.9256666667,93637.7894117647,79737.7724,73375.7467857143
M122T364,122.024018269261,364.3715,[M-H]-,21531.9121818182,15776.6655238095,17292.5377058823,15982.7861578947
M124T507,124.006520050746,506.759,[M-H]-,15758.1556666667,21766.6923703704,27033.8741379311,25217.8442181818
M125T116_2,125.035927004046,116.0965,[M-H]-,7289753.41807143,8006433.3665,7996508.40213954,8218857.70046512
M125T239,125.046793334669,239.305,[M-H]-,112836.74316129,254665.970938775,163430.420648649,186951.131704546
M127T70,127.014314961692,70.285,[M-H]-,31514.3171851852,28094.6304,25361.9540869565,23265.105
M127T219,127.014596615651,219.476,[M-H]-,4224.35856,10432.492,18402.9924597701,9579.70432
M127T79,127.050727720794,78.5635,[M-H]-,69454.2789473684,60464.5553571429,61565.7115714286,60238.1841724138
M128T206,128.045662772838,206.1285,[M+NH4-2H]-,24681.8661153846,24255.133122807,24667.7555342466,24379.2862985075
